10,ASD PRO JUVENTUTE,0,0,0,0,0,0,0,0,0
4,BORGO BIRRAI,1,3,1,0,3,2,0,0,0
2,ARMATA BRANCA BORGO,1,3,1,0,3,0,0,0,0
3,BORGHETTO MASTER CLASS,1,3,1,0,3,0,0,0,0
9,NMC DRINKERS,0,0,0,0,0,0,0,0,0
7,UNICORNO VOLLEY,1,2,0,1,2,3,0,0,0
1,DREAM VOLLEY,1,3,1,0,3,2,0,0,0
6,TIGERS,1,2,0,1,2,3,0,0,0
5,ANIENE VOLLEY,1,3,1,0,3,1,0,0,0
11,ASD BORGO DON BOSCO N. SALARIO,1,0,0,1,0,3,0,0,0
13,GEPPO VOLLEY TEAM,0,0,0,0,0,0,0,0,0
8,ASD FISIO&SPORT-DECIMO ROMA,1,1,0,1,1,1,0,0,0
12,ZAGASPORTSACADEMY,1,0,0,1,0,3,0,0,0
