1,1,BORGHETTO MASTER CLASS,ASD BORGO DON BOSCO N. SALARIO,14/11/2022 21:00,da designare,0-0,0,
2,1,UNICORNO VOLLEY,DREAM VOLLEY,15/11/2022 21:30,da designare,0-0,0,
3,1,TIGERS,BORGO BIRRAI,16/11/2022 21:15,da designare,0-0,0,
4,1,ZAGASPORTSACADEMY,ARMATA BRANCA BORGO,17/11/2022 21:30,da designare,0-0,0,
5,1,ASD FISIO&SPORT-DECIMO ROMA,ANIENE VOLLEY,17/11/2022 21:45,da designare,0-0,0,
6,1,GEPPO VOLLEY TEAM,ASD PRO JUVENTUTE,18/11/2022 21:15,da designare,0-0,0,
7,1,NMC DRINKERS,RIPOSO,30/06/2023 21:00,-,0-0,0,
8,2,ANIENE VOLLEY,BORGHETTO MASTER CLASS,21/11/2022 22:15,da designare,0-0,0,
9,2,ASD PRO JUVENTUTE,TIGERS,22/11/2022 21:30,da designare,0-0,0,
10,2,BORGO BIRRAI,UNICORNO VOLLEY,23/11/2022 21:00,da designare,0-0,0,
11,2,DREAM VOLLEY,ASD FISIO&SPORT-DECIMO ROMA,24/11/2022 21:15,da designare,0-0,0,
12,2,ARMATA BRANCA BORGO,GEPPO VOLLEY TEAM,25/11/2022 21:30,da designare,0-0,0,
13,2,NMC DRINKERS,ZAGASPORTSACADEMY,25/11/2022 21:30,da designare,0-0,0,
14,2,ASD BORGO DON BOSCO N. SALARIO,RIPOSO,30/06/2023 21:00,-,0-0,0,
15,3,TIGERS,GEPPO VOLLEY TEAM,28/11/2022 21:15,da designare,0-0,0,
16,3,UNICORNO VOLLEY,ASD PRO JUVENTUTE,29/11/2022 21:30,da designare,0-0,0,
17,3,BORGHETTO MASTER CLASS,DREAM VOLLEY,30/11/2022 21:00,da designare,0-0,0,
18,3,ZAGASPORTSACADEMY,ASD BORGO DON BOSCO N. SALARIO,01/12/2022 21:30,da designare,0-0,0,
19,3,ASD FISIO&SPORT-DECIMO ROMA,BORGO BIRRAI,01/12/2022 21:45,da designare,0-0,0,
20,3,NMC DRINKERS,ARMATA BRANCA BORGO,02/12/2022 21:30,da designare,0-0,0,
21,3,ANIENE VOLLEY,RIPOSO,30/06/2023 21:00,-,0-0,0,
22,4,BORGO BIRRAI,BORGHETTO MASTER CLASS,05/12/2022 21:00,da designare,0-0,0,
